genre,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Classical,False,63,0.221,0.126,0,-25.427,1,0.0447,0.989,0.897,0.102,0.216,133.63,139307,4
Classical,False,66,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,3
Classical,False,65,0.23,0.0487,5,-27.675,1,0.0412,0.986,0.945,0.0679,0.101,134.839,203656,5
Classical,False,69,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,152280,4
Classical,False,64,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,296480,4
Classical,False,65,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,294960,3
Classical,False,0,0.13,0.158,2,-16.132,1,0.035,0.748,0.924,0.1,0.0998,85.031,302093,4
Classical,False,59,0.0753,0.07,2,-27.272,1,0.044,0.918,0.947,0.146,0.0625,79.801,365147,4
Classical,False,0,0.205,0.0686,4,-23.415,0,0.0462,0.873,0.402,0.0909,0.0359,90.779,337253,1
Classical,False,0,0.371,0.131,2,-23.899,1,0.0413,0.898,0.925,0.0847,0.0655,105.328,442693,4
Classical,False,58,0.0783,0.0523,5,-23.247,1,0.0471,0.896,0.945,0.0806,0.0327,82.015,583293,4
Classical,False,68,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,174267,3
Classical,False,59,0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,935360,4
Classical,False,50,0.353,0.254,0,-16.205,1,0.0349,0.948,0.859,0.0843,0.0986,133.808,564640,4
Classical,False,0,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.604,0.143,0.0936,94.736,707173,4
Classical,False,59,0.194,0.0545,4,-24.877,1,0.0366,0.983,0.945,0.0551,0.0385,140.966,644273,4
Classical,False,54,0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,640267,4
Classical,False,57,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,174653,4
Classical,False,54,0.148,0.0722,4,-25.217,0,0.0427,0.944,0.148,0.115,0.0467,87.882,478573,4
Classical,False,50,0.312,0.0465,9,-26.438,0,0.0378,0.981,0.9,0.0872,0.0371,130.303,766213,3
Classical,False,46,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,906000,4
Classical,False,55,0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,357747,1
Classical,False,52,0.244,0.0021,1,-41.044,0,0.0417,0.995,0.86,0.161,0.187,64.364,442600,4
Classical,False,61,0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,293147,3
Classical,False,50,0.113,0.161,7,-20.046,1,0.0442,0.484,0.928,0.16,0.0365,65.062,337840,4
Classical,False,55,0.151,0.0639,11,-24.404,0,0.0439,0.962,0.603,0.466,0.0797,61.577,200360,3
Classical,False,50,0.0623,0.0116,2,-27.893,1,0.0567,0.991,0.445,0.0816,0.0331,65.057,415800,3
Classical,False,66,0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,151507,3
Classical,False,63,0.212,0.301,2,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,177333,4
Classical,False,51,0.303,0.119,9,-18.055,0,0.0386,0.975,0.88,0.112,0.038,94.868,820853,4
Classical,False,58,0.102,0.0733,10,-24.133,0,0.0488,0.974,0.859,0.28,0.0308,73.954,537427,3
Classical,False,56,0.209,0.101,0,-19.383,1,0.0403,0.927,0.9,0.0776,0.153,85.851,341693,4
Classical,False,47,0.165,0.106,8,-21.742,1,0.039,0.807,0.782,0.105,0.0336,105.651,592040,3
Classical,False,48,0.292,0.246,2,-14.96,1,0.0385,0.922,0.525,0.107,0.0859,109.766,642573,4
Classical,False,0,0.115,0.0422,8,-24.137,1,0.0404,0.966,0.919,0.0896,0.037,87.855,455467,3
Classical,False,60,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,346587,3
Classical,False,51,0.25,0.135,9,-18.615,1,0.0488,0.958,0.0349,0.0477,0.179,94.404,364093,4
Classical,False,67,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,259493,4
Classical,False,50,0.212,0.119,1,-20.511,1,0.0366,0.976,0.907,0.087,0.0396,84.346,1252322,3
Classical,False,51,0.176,0.006,5,-42.238,1,0.0384,0.899,3.24e-05,0.105,0.0383,71.477,636000,3
Classical,False,49,0.351,0.206,1,-22.657,1,0.0597,0.797,0.255,0.0738,0.0839,130.415,577440,4
Classical,False,53,0.326,0.33,7,-12.967,0,0.0406,0.871,0.749,0.128,0.293,118.668,435160,4
Classical,False,63,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,378733,4
Classical,False,53,0.191,0.0363,3,-25.31,1,0.0409,0.991,0.924,0.141,0.0372,69.754,330293,4
Classical,False,0,0.322,0.14,4,-20.747,1,0.0489,0.906,0.759,0.125,0.285,92.122,425000,4
Classical,False,54,0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,153267,4
Classical,False,56,0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,268853,4
Classical,False,62,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,176518,4
Classical,False,0,0.31,0.0555,7,-25.695,1,0.0395,0.994,0.906,0.121,0.566,70.515,140040,4
Classical,False,0,0.224,0.0291,7,-26.167,1,0.0455,0.959,0.845,0.106,0.0538,121.131,1215573,4
Classical,False,48,0.101,0.0241,11,-30.172,0,0.0485,0.947,0.847,0.0693,0.0329,87.14,208587,3
Classical,False,61,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,257000,3
Classical,False,56,0.212,0.0517,2,-24.467,1,0.0525,0.928,0.639,0.112,0.152,185.678,397640,3
Classical,False,49,0.116,0.0694,0,-23.624,1,0.0497,0.969,0.644,0.109,0.0377,169.789,195333,4
Classical,False,59,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,204147,4
Classical,False,46,0.218,0.117,0,-18.585,1,0.0489,0.94,0.861,0.15,0.0599,77.009,1050893,4
Classical,False,45,0.193,0.0839,8,-22.849,1,0.0406,0.971,0.822,0.118,0.0569,85.556,580253,4
Classical,False,46,0.164,0.0194,3,-34.126,1,0.0434,0.938,0.859,0.0939,0.0581,101.708,233400,3
Classical,False,55,0.241,0.122,7,-22.411,1,0.0497,0.925,0.66,0.126,0.187,66.325,209373,4
Classical,False,64,0.248,0.298,0,-15.661,0,0.0395,0.957,0.9,0.0943,0.157,97.853,442000,4
Classical,False,46,0.309,0.258,9,-15.327,1,0.0459,0.976,0.69,0.0924,0.115,74.568,890000,4
Classical,False,45,0.436,0.00518,7,-36.593,1,0.067,0.995,0.932,0.0788,0.275,135.286,224133,5
Classical,False,0,0.0891,0.341,10,-12.681,0,0.046,0.145,0.836,0.111,0.0334,85.231,371747,3
Classical,False,44,0.24,0.0648,4,-25.208,0,0.0426,0.935,0.0272,0.258,0.0771,95.286,423107,3
Classical,False,48,0.12,0.138,10,-15.538,1,0.048,0.994,0.686,0.11,0.043,67.894,256573,4
Classical,False,46,0.166,0.0363,11,-26.822,1,0.0381,0.978,0.922,0.0882,0.039,84.467,473787,4
Classical,False,42,0.359,0.046,6,-18.725,0,0.0407,0.901,0.118,0.277,0.263,127.653,152160,4
Classical,False,0,0.463,0.162,7,-24.484,0,0.045,0.963,0.825,0.0943,0.374,125.514,359667,4
Classical,False,0,0.231,0.133,2,-20.274,1,0.0437,0.963,0.659,0.135,0.0564,122.239,942000,4
Classical,False,46,0.367,0.316,9,-14.49,0,0.0429,0.927,0.779,0.113,0.242,149.089,273562,4
Classical,False,42,0.096,0.0325,8,-24.978,1,0.0416,0.977,0.852,0.0738,0.035,87.85,572520,4
Classical,False,47,0.356,0.152,4,-20.155,1,0.0406,0.981,0.903,0.0807,0.04,132.413,662600,4
Classical,False,0,0.339,0.0588,10,-17.647,0,0.0373,0.984,0.862,0.12,0.198,105.916,277148,4
Classical,False,45,0.458,0.11,9,-22.234,0,0.0309,0.977,0.903,0.359,0.481,83.43,84267,4
Classical,False,0,0.144,0.0868,8,-23.338,1,0.0387,0.891,0.904,0.177,0.0737,94.463,482000,3
Classical,False,49,0.352,0.235,2,-16.235,1,0.0398,0.894,0.675,0.396,0.329,109.16,626240,1
Classical,False,0,0.377,0.173,9,-21.377,1,0.0329,0.991,0.909,0.103,0.558,132.187,500500,4
Classical,False,47,0.496,0.249,3,-18.131,1,0.0411,0.98,0.934,0.12,0.719,144.239,224640,4
Classical,False,45,0.154,0.00261,1,-36.267,1,0.0419,0.89,0.763,0.125,0.0366,83.549,775307,4
Classical,False,6,0.357,0.0464,8,-20.868,1,0.0434,0.992,0.859,0.109,0.0417,69.859,239333,3
Classical,False,61,0,0.0842,9,-19.397,1,0,0.755,0.889,0.262,0,0,432533,0
Classical,False,54,0.0716,0.0408,7,-28.284,1,0.0399,0.851,0.901,0.0844,0.0377,77.047,349760,4
Classical,False,52,0.0754,0.0102,4,-35.69,1,0.0464,0.901,0.106,0.0817,0.0331,81.324,462162,4
Classical,False,45,0.302,0.0355,0,-24.074,1,0.0363,0.932,0.304,0.043,0.186,115.104,716933,4
Classical,False,46,0.223,0.165,10,-16.394,1,0.0504,0.984,0.95,0.348,0.0518,73.463,167160,5
Classical,False,42,0.169,0.0974,3,-21.414,1,0.042,0.864,0.632,0.087,0.0524,170.379,473893,5
